"replic","classifier","AUC","MCC","Sens","Spec"
1,"PASTA2",0.830333100628304,0.431080996582893,0.391891891891892,0.948339483394834
1,"FoldAmyloid",0.718173431734317,0.417990964996845,0.75,0.686346863468635
1,"appnn",0.767602473322031,0.486618669339821,0.844594594594595,0.664206642066421
1,"class14592_6",0.857085868155979,0.522187989648072,0.621621621621622,0.878228782287823
1,"class14592_10",0.873030318141019,0.565819623164116,0.824324324324324,0.763837638376384
1,"class14592_15",0.840879625012466,0.523993161252879,0.925675675675676,0.616236162361624
1,"raw_aa_6",0.852971975665703,0.475533273774124,0.425675675675676,0.955719557195572
1,"raw_aa_10",0.854692330707091,0.601060498676051,0.756756756756757,0.848708487084871
1,"raw_aa_15",0.859965592899172,0.532384977929937,0.77027027027027,0.77859778597786
2,"PASTA2",0.863608231471453,0.408257415101262,0.36231884057971,0.950177935943061
2,"FoldAmyloid",0.711137758522874,0.399028293564195,0.731884057971015,0.690391459074733
2,"appnn",0.825197276806437,0.563988866782291,0.91304347826087,0.686832740213523
2,"class14592_6",0.920986126154005,0.660977210267516,0.666666666666667,0.94661921708185
2,"class14592_10",0.916989014389602,0.668295777989198,0.876811594202899,0.822064056939502
2,"class14592_15",0.897042137294342,0.562887513316321,0.963768115942029,0.629893238434164
2,"raw_aa_6",0.867244313786167,0.527709137405242,0.463768115942029,0.9644128113879
2,"raw_aa_10",0.865284439630718,0.604896877064161,0.753623188405797,0.857651245551601
2,"raw_aa_15",0.881608128320182,0.61125373971446,0.847826086956522,0.793594306049822
3,"PASTA2",0.861053283767038,0.445910898022713,0.36,0.970260223048327
3,"FoldAmyloid",0.776617100371747,0.536552555021746,0.78,0.773234200743494
3,"appnn",0.851226765799256,0.618241968565321,0.893333333333333,0.75092936802974
3,"class14592_6",0.892106567534077,0.606044039333299,0.646666666666667,0.921933085501859
3,"class14592_10",0.892094175960347,0.627190544970693,0.853333333333333,0.795539033457249
3,"class14592_15",0.877521685254027,0.534647226579581,0.933333333333333,0.617100371747212
3,"raw_aa_6",0.841177199504337,0.538241165336107,0.5,0.955390334572491
3,"raw_aa_10",0.858773234200743,0.606091761737465,0.773333333333333,0.840148698884758
3,"raw_aa_15",0.860557620817844,0.532193983821976,0.813333333333333,0.739776951672863
4,"PASTA2",0.826600102406554,0.374886981964341,0.328571428571429,0.949820788530466
