"enc_adj";"AUC_mean";"et";"si";"et2"
101;0,720485149687851;"Encoding";0,7;"Encoding"
102;0,688048148317804;"Encoding";0,657894736842105;"Encoding"
103;0,710849711134457;"Encoding";0,7;"Encoding"
104;0,733165908877205;"Encoding";0,763157894736842;"Encoding"
105;0,736583563621777;"Encoding";0,7;"Encoding"
106;0,734132639642176;"Encoding";0,7;"Encoding"
107;0,722083696689767;"Encoding";0,705263157894737;"Encoding"
108;0,752362861552416;"Encoding";0,752631578947368;"Encoding"
109;0,725938278875223;"Encoding";0,705263157894737;"Encoding"
110;0,734746024594579;"Encoding";0,721052631578947;"Encoding"
111;0,750075022417356;"Encoding";0,668421052631579;"Encoding"
112;0,730474430426687;"Encoding";0,7;"Encoding"
113;0,620557283603221;"Encoding";0,552631578947368;"Encoding"
114;0,741382305356717;"Encoding";0,668421052631579;"Encoding"
115;0,744563764397366;"Encoding";0,815789473684211;"Encoding"
116;0,690476773630221;"Encoding";0,715789473684211;"Encoding"
117;0,756420276664534;"Encoding";0,678947368421053;"Encoding"
118;0,750794742058531;"Encoding";0,668421052631579;"Encoding"
119;0,753896653781805;"Encoding";0,636842105263158;"Encoding"
120;0,746673927294918;"Encoding";0,689473684210526;"Encoding"
121;0,740206651413736;"Encoding";0,689473684210526;"Encoding"
122;0,730386233819914;"Encoding";0,721052631578947;"Encoding"
123;0,733509775452371;"Encoding";0,7;"Encoding"
124;0,71232503273419;"Encoding";0,678947368421053;"Encoding"
125;0,601103243680317;"Encoding";0,457894736842105;"Encoding"
126;0,753176469102346;"Encoding";0,678947368421053;"Encoding"
127;0,737117365154178;"Encoding";0,678947368421053;"Encoding"
128;0,712007549656915;"Encoding";0,689473684210526;"Encoding"
129;0,731024989482289;"Encoding";0,752631578947368;"Encoding"
130;0,714644639880779;"Encoding";0,626315789473684;"Encoding"
131;0,749946624071173;"Encoding";0,752631578947368;"Encoding"
132;0,74745953232597;"Encoding";0,636842105263158;"Encoding"
133;0,650422653024098;"Encoding";0,805263157894737;"Encoding"
134;0,700388936293371;"Encoding";0,778947368421053;"Encoding"
135;0,744715555340496;"Encoding";0,726315789473684;"Encoding"
136;0,749262145072402;"Encoding";0,794736842105263;"Encoding"
137;0,678950815587014;"Encoding";0,742105263157895;"Encoding"
138;0,663685411450044;"Encoding";0,810526315789474;"Encoding"
139;0,701276452522031;"Encoding";0,794736842105263;"Encoding"
140;0,715299462362453;"Encoding";0,731578947368421;"Encoding"
141;0,642557742283638;"Encoding";0,731578947368421;"Encoding"
142;0,68910952877021;"Encoding";0,778947368421053;"Encoding"
143;0,762359481278359;"Encoding";0,778947368421053;"Encoding"
144;0,725881848156737;"Encoding";0,794736842105263;"Encoding"
145;0,678589801485556;"Encoding";0,763157894736842;"Encoding"
146;0,695526372126575;"Encoding";0,742105263157895;"Encoding"
147;0,715354218373783;"Encoding";0,7;"Encoding"
148;0,677437474276165;"Encoding";0,778947368421053;"Encoding"
149;0,670440044499176;"Encoding";0,731578947368421;"Encoding"
150;0,729359470685138;"Encoding";0,678947368421053;"Encoding"
151;0,647360392084077;"Encoding";0,684210526315789;"Encoding"
152;0,771065335843731;"Encoding";0,794736842105263;"Encoding"
153;0,731678285769311;"Encoding";0,689473684210526;"Encoding"
154;0,705624735664407;"Encoding";0,763157894736842;"Encoding"
155;0,757105894421488;"Encoding";0,647368421052632;"Encoding"
156;0,743028697558087;"Encoding";0,763157894736842;"Encoding"
157;0,720559487157754;"Encoding";0,678947368421053;"Encoding"
158;0,749976633074128;"Encoding";0,826315789473684;"Encoding"
159;0,766270972375348;"Encoding";0,710526315789474;"Encoding"
160;0,733399678735949;"Encoding";0,689473684210526;"Encoding"
161;0,712837383516197;"Encoding";0,684210526315789;"Encoding"
162;0,753811185342556;"Encoding";0,647368421052632;"Encoding"
163;0,734723757974975;"Encoding";0,773684210526316;"Encoding"
164;0,735885634415442;"Encoding";0,678947368421053;"Encoding"
165;0,750882064653905;"Encoding";0,705263157894737;"Encoding"
166;0,741678402799838;"Encoding";0,742105263157895;"Encoding"
167;0,741951993244124;"Encoding";0,684210526315789;"Encoding"
168;0,726903667840193;"Encoding";0,742105263157895;"Encoding"
169;0,740619710186658;"Encoding";0,58421052631579;"Encoding"
170;0,718988162007818;"Encoding";0,7;"Encoding"
171;0,755685433147874;"Encoding";0,721052631578947;"Encoding"
172;0,713624558754471;"Encoding";0,710526315789474;"Encoding"
173;0,738404926319441;"Encoding";0,636842105263158;"Encoding"
174;0,741272347798721;"Encoding";0,742105263157895;"Encoding"
175;0,728229667272714;"Encoding";0,615789473684211;"Encoding"
176;0,743819392734666;"Encoding";0,678947368421053;"Encoding"
177;0,730763476757655;"Encoding";0,678947368421053;"Encoding"
178;0,664084043341487;"Encoding";0,705263157894737;"Encoding"
179;0,677078784159181;"Encoding";0,763157894736842;"Encoding"
180;0,697400366822162;"Encoding";0,621052631578947;"Encoding"
181;0,735938522627246;"Encoding";0,689473684210526;"Encoding"
182;0,668079871555127;"Encoding";0,668421052631579;"Encoding"
183;0,709120733501725;"Encoding";0,736842105263158;"Encoding"
184;0,728819863056977;"Encoding";0,7;"Encoding"
185;0,689217935003152;"Encoding";0,689473684210526;"Encoding"
186;0,741008916224772;"Encoding";0,678947368421053;"Encoding"
187;0,75752074418764;"Encoding";0,784210526315789;"Encoding"
188;0,712367211956406;"Encoding";0,552631578947368;"Encoding"
189;0,701419059820734;"Encoding";0,668421052631579;"Encoding"
190;0,675518822320575;"Encoding";0,668421052631579;"Encoding"
191;0,754218510523142;"Encoding";0,831578947368421;"Encoding"
192;0,692725976551696;"Encoding";0,794736842105263;"Encoding"
193;0,717130652024536;"Encoding";0,742105263157895;"Encoding"
194;0,646794829408677;"Encoding";0,678947368421053;"Encoding"
195;0,695538502921241;"Encoding";0,668421052631579;"Encoding"
196;0,738170854603998;"Encoding";0,721052631578947;"Encoding"
197;0,741873729452419;"Encoding";0,668421052631579;"Encoding"
198;0,733980404655038;"Encoding";0,742105263157895;"Encoding"
199;0,691979024550996;"Encoding";0,678947368421053;"Encoding"
200;0,691391482395446;"Encoding";0,689473684210526;"Encoding"
201;0,65517450120862;"Encoding";0,678947368421053;"Encoding"
202;0,775183513636634;"Encoding";0,773684210526316;"Encoding"
203;0,703975445037984;"Encoding";0,763157894736842;"Encoding"
204;0,709011058239152;"Encoding";0,678947368421053;"Encoding"
205;0,703874247740214;"Encoding";0,694736842105263;"Encoding"
206;0,725562723060754;"Encoding";0,747368421052632;"Encoding"
207;0,671048666686435;"Encoding";0,705263157894737;"Encoding"
208;0,717746327686307;"Encoding";0,747368421052632;"Encoding"
209;0,664677012820164;"Encoding";0,710526315789474;"Encoding"
210;0,682298976793358;"Encoding";0,7;"Encoding"
211;0,734159036838648;"Encoding";0,7;"Encoding"
212;0,753512586660147;"Encoding";0,731578947368421;"Encoding"
213;0,760892210206117;"Encoding";0,742105263157895;"Encoding"
214;0,732180752575186;"Encoding";0,742105263157895;"Encoding"
215;0,73796094990102;"Encoding";0,710526315789474;"Encoding"
216;0,763486924559635;"Encoding";0,7;"Encoding"
217;0,726189030349895;"Encoding";0,747368421052632;"Encoding"
218;0,749894670826441;"Encoding";0,731578947368421;"Encoding"
219;0,733811042820534;"Encoding";0,731578947368421;"Encoding"
220;0,743211381604906;"Encoding";0,810526315789474;"Encoding"
221;0,744534794057426;"Encoding";0,731578947368421;"Encoding"
222;0,742307447090238;"Encoding";0,710526315789474;"Encoding"
223;0,740791128101215;"Encoding";0,710526315789474;"Encoding"
224;0,735034623750525;"Encoding";0,752631578947368;"Encoding"
225;0,757776380831313;"Encoding";0,763157894736842;"Encoding"
226;0,683718842065787;"Encoding";0,731578947368421;"Encoding"
227;0,726105342922238;"Encoding";0,710526315789474;"Encoding"
228;0,671489497829438;"Encoding";0,731578947368421;"Encoding"
229;0,724247671053388;"Encoding";0,721052631578947;"Encoding"
230;0,670618991042003;"Encoding";0,710526315789474;"Encoding"
231;0,762124501401025;"Encoding";0,7;"Encoding"
232;0,712125601979808;"Encoding";0,805263157894737;"Encoding"
233;0,740971458283756;"Encoding";0,689473684210526;"Encoding"
234;0,759783468347407;"Encoding";0,742105263157895;"Encoding"
235;0,669392351973036;"Encoding";0,710526315789474;"Encoding"
236;0,740386881161554;"Encoding";0,721052631578947;"Encoding"
237;0,678087393839081;"Encoding";0,752631578947368;"Encoding"
238;0,681543052638729;"Encoding";0,731578947368421;"Encoding"
239;0,681227244505064;"Encoding";0,710526315789474;"Encoding"
240;0,697577496523284;"Encoding";0,715789473684211;"Encoding"
241;0,729151534650351;"Encoding";0,731578947368421;"Encoding"
242;0,712074327835323;"Encoding";0,710526315789474;"Encoding"
243;0,677277432320669;"Encoding";0,615789473684211;"Encoding"
244;0,766057397940064;"Encoding";0,657894736842105;"Encoding"
245;0,744535290751218;"Encoding";0,694736842105263;"Encoding"
246;0,758628966000035;"Encoding";0,721052631578947;"Encoding"
247;0,745027832168413;"Encoding";0,621052631578947;"Encoding"
248;0,702530646013724;"Encoding";0,715789473684211;"Encoding"
249;0,73619549011007;"Encoding";0,7;"Encoding"
250;0,735135100739765;"Encoding";0,694736842105263;"Encoding"
251;0,690996551963696;"Encoding";0,678947368421053;"Encoding"
252;0,713060706910635;"Encoding";0,7;"Encoding"
253;0,711663543033173;"Encoding";0,757894736842105;"Encoding"
254;0,729175783628014;"Encoding";0,689473684210526;"Encoding"
255;0,662590149152551;"Encoding";0,647368421052632;"Encoding"
256;0,723118377636182;"Encoding";0,7;"Encoding"
257;0,739141558856139;"Encoding";0,678947368421053;"Encoding"
258;0,683556081895361;"Encoding";0,615789473684211;"Encoding"
259;0,727752648246186;"Encoding";0,773684210526316;"Encoding"
260;0,738583429832809;"Encoding";0,710526315789474;"Encoding"
261;0,693634468810692;"Encoding";0,605263157894737;"Encoding"
262;0,708019668228113;"Encoding";0,721052631578947;"Encoding"
263;0,732526918703619;"Encoding";0,7;"Encoding"
264;0,642650541877498;"Encoding";0,689473684210526;"Encoding"
265;0,667344151441568;"Encoding";0,731578947368421;"Encoding"
266;0,763222471165335;"Encoding";0,7;"Encoding"
267;0,624855806331971;"Encoding";0,552631578947368;"Encoding"
268;0,703157955877049;"Encoding";0,721052631578947;"Encoding"
269;0,733963626184512;"Encoding";0,742105263157895;"Encoding"
270;0,737220883180283;"Encoding";0,668421052631579;"Encoding"
271;0,775085699836629;"Encoding";0,773684210526316;"Encoding"
272;0,745400038585753;"Encoding";0,7;"Encoding"
273;0,729476049126514;"Encoding";0,668421052631579;"Encoding"
274;0,663392834856434;"Encoding";0,668421052631579;"Encoding"
275;0,759199701051657;"Encoding";0,684210526315789;"Encoding"
276;0,689861362272822;"Encoding";0,742105263157895;"Encoding"
277;0,665486621175305;"Encoding";0,7;"Encoding"
278;0,693059797704185;"Encoding";0,657894736842105;"Encoding"
279;0,74231038396043;"Encoding";0,721052631578947;"Encoding"
280;0,65146081733014;"Encoding";0,668421052631579;"Encoding"
281;0,741802865616563;"Encoding";0,689473684210526;"Encoding"
282;0,750471032570836;"Encoding";0,721052631578947;"Encoding"
283;0,736478517983025;"Encoding";0,7;"Encoding"
284;0,727159860520509;"Encoding";0,721052631578947;"Encoding"
285;0,742017176478192;"Encoding";0,721052631578947;"Encoding"
286;0,745160747440536;"Encoding";0,668421052631579;"Encoding"
287;0,719535566889165;"Encoding";0,731578947368421;"Encoding"
288;0,710905306300479;"Encoding";0,647368421052632;"Encoding"
289;0,739811446045911;"Encoding";0,668421052631579;"Encoding"
290;0,759520705785822;"Encoding";0,647368421052632;"Encoding"
291;0,70018850601208;"Encoding";0,636842105263158;"Encoding"
292;0,726655644931168;"Encoding";0,710526315789474;"Encoding"
293;0,747207831708623;"Encoding";0,636842105263158;"Encoding"
294;0,686997251639043;"Encoding";0,642105263157895;"Encoding"
295;0,734180988471236;"Encoding";0,705263157894737;"Encoding"
296;0,746062874632877;"Encoding";0,705263157894737;"Encoding"
297;0,738906471828993;"Encoding";0,636842105263158;"Encoding"
298;0,71923477085181;"Encoding";0,657894736842105;"Encoding"
299;0,691057050205304;"Encoding";0,58421052631579;"Encoding"
300;0,76067803878874;"Encoding";0,705263157894737;"Encoding"
301;0,733764134737532;"Encoding";0,705263157894737;"Encoding"
302;0,7301051108852;"Encoding";0,663157894736842;"Encoding"
303;0,745653137098284;"Encoding";0,689473684210526;"Encoding"
304;0,746602687221591;"Encoding";0,794736842105263;"Encoding"
305;0,727230621835188;"Encoding";0,721052631578947;"Encoding"
306;0,711411955518124;"Encoding";0,657894736842105;"Encoding"
